t,"counter Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[0],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[0].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[1],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[1].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[2],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[2].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[3],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[3].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)",t.loRaGW[4],"Gateway / Received RSSI LoRaNetworkTest.loRaGW[4].packetForwarder($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","SF Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","TP Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","X Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Y Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)","Z Vector LoRaNetworkTest.loRaNodes[0].SimpleLoRaApp($0=""avg"", #0 - General-0-20210629-17:15:46-25289)"
126954.8312491924,62.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1632.4906564639,4108.9835863878,1.8060090963882
127635.20542483796,63.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2193.7530504711,4528.9634056529,1.8021511533292
127916.3926333138,64.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2126.5757967011,4244.5738523387,1.7944686350443
128127.84319122459,65.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2076.0590329209,4030.7151564246,1.7886914420265
128296.5970562992,66.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2035.7427565147,3860.0394113616,1.7840807961116
129388.03524670003,67.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1774.9918472245,2756.1712051157,1.7542608270596
130178.71726987534,68.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,130179.21083888522,-131.69381770201,10.0,14.0,1586.0933293647,1956.484375106,1.7326580339116
130563.91514210604,69.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1494.0673252133,1566.8996162,1.7221337653549
131595.6621459649,70.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,881.32786145893,500.13840607885,1.4033078919408
131785.95654415688,71.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,594.70094141913,292.35814178945,1.2067327908823
132407.68510902452,72.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1062.8554356532,820.91641777405,1.2938494855252
132716.75154530013,73.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1384.5120879116,1160.1144034892,1.3833355131362
133455.1502849719,74.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,133455.64385409304,-132.63783545668,10.0,14.0,2152.9904432348,1970.5012192483,1.5971289318017
134072.45359804353,75.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,2801.339913678,2253.3682386317,1.5748390246393
134540.1207556912,76.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3294.7813176649,2316.9129067668,1.4811567062904
134649.6008398873,77.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3410.295108982,2331.7886052286,1.4592258353006
134842.30994973468,78.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,3613.6248749686,2357.9731175075,1.420622662334
135281.61453472316,79.0,,-1000.0,135282.108103409,-128.19835876982,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4077.1405776426,2417.6639972429,1.332621888044
135357.28157851248,80.0,,-1000.0,135357.7751471738,-127.86928855478,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,4156.9778116936,2427.9453204184,1.317464389877
136925.2859275888,81.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,,-1000.0,10.0,14.0,1842.9072622761,3198.4551389468,1.3725545111885
